Pearson Correlation,ID OOD Alignment,Percentage OOD retained,Stem,Spatial Reduction,CNN vs ViT,Augmentations,Resolution,ID Class Count,OverParam. Level,Depth
0.58,0.100,48.48,3,0.5,CNN,2,32,100,401.6,17
0.67,0.300,73.66,3,0.5,CNN,2,32,100,401.6,17
0.94,0.340,92.79,3,1,CNN,0,32,100,189.2,11
0.98,0.130,99.41,3,1,CNN,0,32,100,189.2,11
0.92,0.140,84.55,3,1,CNN,0,32,100,189.2,11
0.94,0.130,90.91,3,1,CNN,0,32,100,189.2,11
0.94,0.340,84.62,3,1,CNN,0,32,100,189.2,11
0.96,0.480,99.75,3,1,CNN,0,32,100,189.2,11
0.96,0.220,94.42,3,1,CNN,0,32,100,189.2,11
0.97,0.420,98.32,3,1,CNN,0,32,100,189.2,11
0.96,0.380,95.27,3,1,CNN,2,32,100,189.2,11
0.99,0.140,100,3,1,CNN,2,32,100,189.2,11
0.95,0.160,84.76,3,1,CNN,2,32,100,189.2,11
0.94,0.130,90.39,3,1,CNN,2,32,100,189.2,11
0.97,0.370,87.42,3,1,CNN,2,32,100,189.2,11
0.96,0.480,97.77,3,1,CNN,2,32,100,189.2,11
0.97,0.240,89.08,3,1,CNN,2,32,100,189.2,11
0.97,0.430,96.88,3,1,CNN,2,32,100,189.2,11
0.92,0.310,87.3,3,1,CNN,0,32,100,401.6,17
0.98,0.110,95.69,3,1,CNN,0,32,100,401.6,17
0.89,0.110,72.95,3,1,CNN,0,32,100,401.6,17
0.85,0.100,70.88,3,1,CNN,0,32,100,401.6,17
0.86,0.260,71.27,3,1,CNN,0,32,100,401.6,17
0.93,0.440,96.85,3,1,CNN,0,32,100,401.6,17
0.94,0.180,84.82,3,1,CNN,0,32,100,401.6,17
0.93,0.390,96.66,3,1,CNN,0,32,100,401.6,17
0.89,0.300,76.02,3,1,CNN,2,32,100,401.6,17
0.95,0.110,75.17,3,1,CNN,2,32,100,401.6,17
0.84,0.100,51.51,3,1,CNN,2,32,100,401.6,17
0.75,0.060,41.76,3,1,CNN,2,32,100,401.6,17
0.80,0.200,47.35,3,1,CNN,2,32,100,401.6,17
0.93,0.440,89.64,3,1,CNN,2,32,100,401.6,17
0.91,0.180,68.98,3,1,CNN,2,32,100,401.6,17
0.91,0.390,87.03,3,1,CNN,2,32,100,401.6,17
0.34,0.090,29.9,3,0.5,CNN,0,32,10,189.2,11
0.49,0.030,27.75,3,0.5,CNN,0,32,10,189.2,11
0.29,0.010,12.43,3,0.5,CNN,0,32,10,189.2,11
0.44,0.010,12.91,3,0.5,CNN,0,32,10,189.2,11
0.32,0.060,20.13,3,0.5,CNN,0,32,10,189.2,11
0.55,0.120,34.46,3,0.5,CNN,0,32,10,189.2,11
0.55,0.060,33.55,3,0.5,CNN,0,32,10,189.2,11
0.98,0.440,93.56,3,0.5,CNN,0,32,10,189.2,11
0.45,0.130,35.19,3,0.5,CNN,2,32,10,189.2,11
0.63,0.050,32.55,3,0.5,CNN,2,32,10,189.2,11
0.34,0.030,17.11,3,0.5,CNN,2,32,10,189.2,11
0.48,0.030,19.39,3,0.5,CNN,2,32,10,189.2,11
0.36,0.080,21.6,3,0.5,CNN,2,32,10,189.2,11
0.64,0.170,42.46,3,0.5,CNN,2,32,10,189.2,11
0.75,0.110,44.03,3,0.5,CNN,2,32,10,189.2,11
0.99,0.540,95.94,3,0.5,CNN,2,32,10,189.2,11
-0.06,0.070,22.65,3,0.5,CNN,0,32,10,401.6,17
0.16,0.020,18.61,3,0.5,CNN,0,32,10,401.6,17
-0.08,0.010,7.46,3,0.5,CNN,0,32,10,401.6,17
0.12,0.010,8.78,3,0.5,CNN,0,32,10,401.6,17
-0.07,0.030,12.3,3,0.5,CNN,0,32,10,401.6,17
0.08,0.040,13.73,3,0.5,CNN,0,32,10,401.6,17
